     Time            Drag            Lift          ZForce
  0.49500000      0.38455249      0.26361930E-03  0.21461374E-02
  0.50000000      0.38682816      0.27663532E-03  0.21961708E-02
  0.50500000      0.38921114      0.29005406E-03  0.22465246E-02
  0.51000000      0.39152431      0.30391984E-03  0.22972226E-02
  0.51500000      0.39393850      0.31820072E-03  0.23482016E-02
  0.52000000      0.39628985      0.33293774E-03  0.23994805E-02
  0.52500000      0.39873640      0.34810097E-03  0.24509987E-02
  0.53000000      0.40112654      0.36372830E-03  0.25027705E-02
  0.53500000      0.40360649      0.37979154E-03  0.25547376E-02
  0.54000000      0.40603595      0.39632554E-03  0.26069102E-02
  0.54500000      0.40855025      0.41330362E-03  0.26592320E-02
  0.55000000      0.41101948      0.43075768E-03  0.27117092E-02
  0.55500000      0.41356894      0.44866233E-03  0.27642877E-02
  0.56000000      0.41607821      0.46704044E-03  0.28169863E-02
  0.56500000      0.41866367      0.48588438E-03  0.28696918E-02
  0.57000000      0.42121345      0.50520475E-03  0.29225015E-02
  0.57500000      0.42383527      0.52498514E-03  0.29752682E-02
  0.58000000      0.42642570      0.54524520E-03  0.30280643E-02
  0.58500000      0.42908447      0.56596576E-03  0.30807807E-02
  0.59000000      0.43171568      0.58716477E-03  0.31334607E-02
  0.59500000      0.43441176      0.60882250E-03  0.31860146E-02
  0.60000000      0.43708379      0.63095515E-03  0.32384697E-02
  0.60500000      0.43981745      0.65354271E-03  0.32907483E-02
  0.61000000      0.44253027      0.67659941E-03  0.33428669E-02
  0.61500000      0.44530168      0.70010501E-03  0.33947564E-02
  0.62000000      0.44805516      0.72407169E-03  0.34464253E-02
  0.62500000      0.45086439      0.74847899E-03  0.34978106E-02
  0.63000000      0.45365834      0.77333699E-03  0.35489153E-02
  0.63500000      0.45650536      0.79862499E-03  0.35996811E-02
  0.64000000      0.45933952      0.82435097E-03  0.36501062E-02
  0.64500000      0.46222423      0.85049393E-03  0.37001364E-02
  0.65000000      0.46509824      0.87705980E-03  0.37497665E-02
  0.65500000      0.46802044      0.90402722E-03  0.37989453E-02
  0.66000000      0.47093392      0.93140008E-03  0.38476648E-02
  0.66500000      0.47389333      0.95915667E-03  0.38958768E-02
  0.67000000      0.47684581      0.98729887E-03  0.39435707E-02
  0.67500000      0.47984210      0.10158046E-02  0.39907010E-02
  0.68000000      0.48283306      0.10446737E-02  0.40372554E-02
  0.68500000      0.48586583      0.10738837E-02  0.40831904E-02
